               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11469,            0.032339,            0.040025,          0.00090416,             0.16667,           0.0010746,          0.00023622,             0.10387,            0.033524,            0.037415,              0.0955,              0.0005,              0.0005
                   1,            0.099468,            0.033774,            0.037052,           0.0017647,             0.36574,           0.0020314,          0.00041944,            0.086906,            0.033209,            0.036042,            0.089991,           0.0009911,           0.0009911
                   2,            0.079685,            0.034876,            0.036759,           0.0021488,             0.62963,           0.0053875,           0.0011566,            0.072298,            0.033895,            0.033503,            0.084363,           0.0013634,           0.0013634
                   3,            0.070365,            0.034889,            0.035963,           0.0031282,             0.85185,            0.010534,            0.002891,            0.070304,            0.032636,            0.031078,            0.078617,           0.0016169,           0.0016169
                   4,            0.065602,            0.033902,            0.033296,           0.0031253,             0.85185,            0.014869,           0.0034315,            0.067615,            0.031112,            0.031614,            0.072752,           0.0017516,           0.0017516
                   5,            0.068623,            0.032925,            0.034299,           0.0029631,             0.81481,            0.057882,            0.019786,            0.064201,            0.030593,            0.030429,            0.066768,           0.0017675,           0.0017675
                   6,            0.058756,            0.032788,            0.032878,           0.0031466,             0.87037,             0.23259,            0.076303,            0.060687,            0.030168,            0.029903,            0.060665,           0.0016646,           0.0016646
                   7,            0.056486,            0.032327,            0.031635,           0.0036363,                   1,             0.21019,             0.07271,            0.060726,            0.029219,            0.028999,            0.054443,           0.0014429,           0.0014429
                   8,            0.057362,             0.03167,            0.029961,            0.028466,             0.77778,             0.27912,            0.074689,            0.059552,            0.027942,            0.027946,            0.048102,           0.0011024,           0.0011024
                   9,            0.055138,            0.030591,             0.02891,             0.14311,             0.58796,              0.2498,             0.09195,            0.058415,            0.027652,            0.027658,            0.041643,           0.0006431,           0.0006431
