               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.088252,            0.031716,             0.04956,           0.0028462,             0.52735,           0.0084145,           0.0020599,            0.069198,            0.027203,             0.04345,               0.073,               0.003,               0.003
                   1,            0.066411,            0.025945,            0.046354,           0.0028558,             0.79881,            0.057185,            0.014686,            0.071155,            0.020595,            0.040061,             0.04506,           0.0060597,           0.0060597
                   2,            0.061866,            0.021629,            0.042499,           0.0040341,             0.85082,            0.025382,            0.008709,            0.071938,            0.015843,            0.037479,            0.017079,           0.0090786,           0.0090786
                   3,            0.063456,            0.019382,            0.038771,             0.50236,             0.22997,             0.16179,            0.060047,            0.064489,            0.021003,            0.036206,            0.009802,            0.009802,            0.009802
                   4,            0.055624,            0.017785,            0.037532,             0.40818,             0.50411,             0.37974,             0.16166,            0.052121,            0.016665,            0.035683,            0.009802,            0.009802,            0.009802
                   5,             0.05427,            0.015915,            0.032157,             0.29161,             0.49483,             0.37615,             0.17661,            0.050636,            0.015192,            0.029668,            0.009736,            0.009736,            0.009736
                   6,             0.05451,            0.014135,            0.029032,             0.27112,             0.57068,             0.45606,             0.19765,             0.04935,            0.013099,            0.028027,             0.00967,             0.00967,             0.00967
                   7,            0.054115,            0.013586,            0.027029,               0.566,             0.50665,             0.50025,             0.20512,            0.062124,             0.01154,            0.026005,            0.009604,            0.009604,            0.009604
                   8,            0.054145,            0.012393,            0.023355,             0.31306,             0.62036,             0.46556,             0.16206,            0.061081,            0.011822,            0.023599,            0.009538,            0.009538,            0.009538
                   9,            0.053533,            0.012331,            0.019155,             0.31351,             0.61325,               0.524,             0.22644,            0.059829,            0.010552,            0.024673,            0.009472,            0.009472,            0.009472
                  10,            0.059266,            0.011265,            0.018715,             0.59446,             0.58115,             0.66092,             0.26945,            0.057954,            0.010786,            0.019859,            0.009406,            0.009406,            0.009406
                  11,             0.05594,            0.011363,            0.017653,             0.58786,              0.7059,             0.70286,             0.28392,            0.054941,             0.01165,            0.018219,             0.00934,             0.00934,             0.00934
                  12,            0.055515,             0.01236,            0.014371,             0.47337,             0.64989,             0.51235,             0.22377,            0.056143,            0.012979,            0.021067,            0.009274,            0.009274,            0.009274
                  13,            0.051008,            0.012048,             0.01472,             0.58843,             0.72897,             0.75885,             0.32424,            0.051597,            0.010711,            0.016226,            0.009208,            0.009208,            0.009208
                  14,            0.048661,            0.011033,            0.012932,             0.64507,             0.53137,             0.56938,             0.18831,              0.0554,           0.0097731,            0.012915,            0.009142,            0.009142,            0.009142
                  15,            0.050427,            0.010867,            0.011747,             0.51974,             0.81335,             0.65127,             0.25863,            0.055011,            0.010006,            0.018398,            0.009076,            0.009076,            0.009076
                  16,             0.05451,            0.010899,           0.0099745,             0.39555,             0.86812,              0.7165,             0.33381,            0.050755,            0.010175,            0.012814,             0.00901,             0.00901,             0.00901
                  17,            0.048418,            0.011019,            0.010597,             0.37976,             0.84728,             0.66258,             0.28898,            0.055905,           0.0094183,            0.013758,            0.008944,            0.008944,            0.008944
                  18,             0.05162,            0.010587,           0.0099904,             0.52825,             0.82325,             0.69134,             0.32847,            0.052064,           0.0093955,            0.010519,            0.008878,            0.008878,            0.008878
                  19,             0.04607,            0.010416,           0.0083455,             0.44155,             0.83003,             0.73889,             0.31179,            0.051967,           0.0094984,           0.0087899,            0.008812,            0.008812,            0.008812
                  20,            0.052048,            0.010465,           0.0072091,             0.51335,             0.90854,              0.8072,             0.35224,            0.049391,           0.0090825,           0.0077509,            0.008746,            0.008746,            0.008746
                  21,            0.048787,            0.010388,           0.0091984,             0.69867,             0.81095,             0.84329,             0.44172,            0.043716,           0.0086206,            0.013562,             0.00868,             0.00868,             0.00868
                  22,            0.049181,           0.0097582,           0.0084039,             0.56363,             0.93906,             0.87492,             0.44815,            0.046523,           0.0086682,           0.0080282,            0.008614,            0.008614,            0.008614
                  23,            0.046753,           0.0097496,           0.0080367,             0.54131,              0.8021,             0.64519,             0.33311,            0.048805,           0.0086554,            0.007088,            0.008548,            0.008548,            0.008548
                  24,            0.048976,            0.010022,           0.0063707,             0.52924,             0.87997,              0.7305,             0.40364,             0.05221,           0.0087652,           0.0076603,            0.008482,            0.008482,            0.008482
                  25,            0.050115,           0.0092171,            0.006122,             0.61789,             0.90504,             0.85783,             0.45779,            0.049876,             0.00799,           0.0075501,            0.008416,            0.008416,            0.008416
                  26,            0.049763,           0.0094129,           0.0064516,             0.75031,             0.62463,             0.82978,             0.37384,            0.055059,           0.0082565,            0.010936,             0.00835,             0.00835,             0.00835
                  27,            0.049666,           0.0094681,           0.0079242,             0.54523,             0.90497,             0.75953,             0.38793,            0.050216,           0.0078427,           0.0091109,            0.008284,            0.008284,            0.008284
                  28,             0.04984,           0.0092354,           0.0074405,              0.7625,              0.8866,             0.88052,             0.45414,            0.044911,           0.0085338,           0.0086388,            0.008218,            0.008218,            0.008218
                  29,            0.044952,           0.0097172,           0.0071256,             0.69696,             0.96452,              0.8631,             0.43677,            0.043417,           0.0084009,              0.0104,            0.008152,            0.008152,            0.008152
                  30,            0.042164,           0.0092158,           0.0065082,              0.5734,             0.91823,             0.86563,             0.40412,            0.041976,           0.0075443,           0.0089902,            0.008086,            0.008086,            0.008086
                  31,            0.041895,           0.0088298,           0.0064114,             0.72834,             0.92156,             0.87198,             0.38311,            0.037988,            0.007653,           0.0065757,             0.00802,             0.00802,             0.00802
                  32,            0.044843,           0.0088214,           0.0044823,             0.70988,             0.94253,             0.88755,             0.46464,            0.042508,            0.007982,           0.0060458,            0.007954,            0.007954,            0.007954
                  33,            0.045747,           0.0089413,           0.0059173,             0.79986,             0.67987,              0.7753,             0.40153,             0.04847,           0.0079732,           0.0062042,            0.007888,            0.007888,            0.007888
                  34,            0.040722,           0.0088154,           0.0061502,             0.49198,               0.933,             0.77742,             0.35692,            0.041063,           0.0079312,           0.0065156,            0.007822,            0.007822,            0.007822
                  35,            0.042801,           0.0087171,           0.0052727,             0.74222,              0.7764,             0.91826,             0.53614,            0.041824,           0.0076394,           0.0056281,            0.007756,            0.007756,            0.007756
                  36,            0.041652,           0.0087652,           0.0049137,              0.6969,             0.97776,             0.87296,             0.49061,            0.041368,           0.0078083,           0.0060126,             0.00769,             0.00769,             0.00769
                  37,            0.043446,           0.0086869,           0.0063264,             0.86479,             0.68711,             0.86654,             0.45354,            0.043514,           0.0074555,           0.0072303,            0.007624,            0.007624,            0.007624
                  38,            0.041981,           0.0085526,           0.0060744,              0.8459,             0.60984,             0.81118,             0.38107,             0.04137,           0.0076924,           0.0068673,            0.007558,            0.007558,            0.007558
                  39,            0.039595,           0.0087785,           0.0047859,              0.7225,             0.98167,             0.93217,              0.5839,            0.033596,           0.0074184,           0.0062409,            0.007492,            0.007492,            0.007492
                  40,            0.034432,            0.008337,           0.0047306,             0.76463,             0.94739,             0.92529,             0.50482,             0.03552,           0.0074053,           0.0049347,            0.007426,            0.007426,            0.007426
                  41,            0.042109,           0.0080406,           0.0044477,              0.6075,             0.87735,             0.82279,             0.34467,            0.041357,           0.0072018,           0.0049404,             0.00736,             0.00736,             0.00736
                  42,            0.040981,           0.0081464,           0.0061676,             0.43128,              0.9729,             0.66155,             0.33682,            0.050897,           0.0072615,           0.0066069,            0.007294,            0.007294,            0.007294
                  43,            0.041662,           0.0083424,           0.0051343,             0.75023,             0.96341,             0.89904,             0.51271,            0.038088,           0.0072698,           0.0057187,            0.007228,            0.007228,            0.007228
                  44,            0.040365,           0.0078336,           0.0051764,             0.81541,             0.94858,             0.95266,             0.49943,            0.040514,           0.0074254,           0.0058686,            0.007162,            0.007162,            0.007162
                  45,            0.039407,           0.0084025,           0.0047322,             0.59569,             0.96609,             0.88212,             0.48008,            0.041597,           0.0073274,            0.005441,            0.007096,            0.007096,            0.007096
                  46,            0.040114,           0.0079503,           0.0041406,             0.54886,             0.93543,             0.82239,             0.47608,            0.041787,           0.0073975,           0.0055146,             0.00703,             0.00703,             0.00703
                  47,            0.039308,           0.0084714,           0.0051853,             0.67373,             0.85929,             0.88825,             0.47373,            0.044629,           0.0072537,            0.006309,            0.006964,            0.006964,            0.006964
                  48,            0.041078,           0.0085642,           0.0043551,               0.815,             0.84907,             0.91798,             0.47156,            0.039118,           0.0076013,           0.0076724,            0.006898,            0.006898,            0.006898
                  49,            0.040221,           0.0083607,           0.0055055,             0.83947,             0.92524,             0.92105,             0.59048,            0.036238,           0.0071467,           0.0075382,            0.006832,            0.006832,            0.006832
                  50,            0.036261,           0.0080511,           0.0050502,             0.84647,             0.92428,             0.97465,             0.58813,            0.036825,           0.0070764,           0.0065215,            0.006766,            0.006766,            0.006766
                  51,            0.033151,           0.0079283,            0.005102,             0.85495,             0.93738,             0.95583,             0.52663,            0.036085,           0.0072018,           0.0064464,              0.0067,              0.0067,              0.0067
                  52,            0.037564,           0.0081642,           0.0034697,             0.87127,             0.93375,             0.95784,             0.62662,            0.032883,           0.0072681,           0.0056429,            0.006634,            0.006634,            0.006634
                  53,            0.038311,           0.0077983,           0.0040119,             0.72269,             0.96359,             0.94239,             0.47802,            0.041557,           0.0070068,            0.007963,            0.006568,            0.006568,            0.006568
                  54,            0.038736,            0.007913,           0.0069046,             0.67453,             0.83136,             0.90512,             0.49568,            0.042892,           0.0071519,            0.005734,            0.006502,            0.006502,            0.006502
                  55,            0.040245,           0.0082226,           0.0038308,                 0.8,             0.90476,             0.94196,             0.55609,            0.037088,           0.0072452,           0.0070228,            0.006436,            0.006436,            0.006436
                  56,            0.035564,           0.0078417,           0.0047356,              0.9435,             0.92797,              0.9882,             0.63508,            0.034625,           0.0069219,           0.0051321,             0.00637,             0.00637,             0.00637
